package,license,allowed,note
"regexp.prototype.flags","MIT","YES",""
"regjsparser","BSD-2-Clause","YES",""
"require-directory","MIT","YES",""
"require-from-string","MIT","YES",""
"resolve","MIT","YES",""
"resolve-from","MIT","YES",""
"resolve-pkg-maps","MIT","YES",""
"restore-cursor","MIT","YES",""
"rettime","MIT","YES",""
"reusify","MIT","YES",""
"rfdc","MIT","YES",""
"rollup","MIT","YES",""
"router","MIT","YES",""
"rrweb-cssom","MIT","YES",""
"run-applescript","MIT","YES",""
"run-parallel","MIT","YES",""
"rxjs","Apache-2.0","YES",""
"safe-array-concat","MIT","YES",""
"safe-buffer","MIT","YES",""
"safe-push-apply","MIT","YES",""
"safe-regex","MIT","YES",""
"safe-regex-test","MIT","YES",""
"safer-buffer","MIT","YES",""
"saxes","ISC","YES",""
"scheduler","MIT","YES",""
"schema-utils","MIT","YES",""
"scslre","MIT","YES",""
"semver","ISC","YES",""
"send","MIT","YES",""
"serialize-javascript","BSD-3-Clause","YES",""
"seroval","MIT","YES",""
"seroval-plugins","MIT","YES",""
"serve-static","MIT","YES",""
"set-function-length","MIT","YES",""
"set-function-name","MIT","YES",""
"set-proto","MIT","YES",""
"setprototypeof","ISC","YES",""
"sharp","Apache-2.0","YES",""
"shebang-command","MIT","YES",""
"shebang-regex","MIT","YES",""
"side-channel","MIT","YES",""
"side-channel-list","MIT","YES",""
"side-channel-map","MIT","YES",""
"side-channel-weakmap","MIT","YES",""
"siginfo","ISC","YES",""
"signal-exit","ISC","YES",""
"sirv","MIT","YES",""
"sisteransi","MIT","YES",""
"slice-ansi","MIT","YES",""
"smart-buffer","MIT","YES",""
"smol-toml","BSD-3-Clause","YES",""
"socks","MIT","YES",""
"socks-proxy-agent","MIT","YES",""
"sonner","MIT","YES",""
"source-map","BSD-3-Clause","YES",""
"source-map-js","BSD-3-Clause","YES",""
"source-map-loader","MIT","YES",""
"source-map-support","MIT","YES",""
"split2","ISC","YES",""
"stable-hash-x","MIT","YES",""
"stackback","MIT","YES",""
"standard-as-callback","MIT","YES",""
"statuses","MIT","YES",""
"std-env","MIT","YES",""
"stdin-discarder","MIT","YES",""
"stop-iteration-iterator","MIT","YES",""
"storybook","MIT","YES",""
"streamx","MIT","YES",""
"strict-event-emitter","MIT","YES",""
"string-argv","MIT","YES",""
"string-width","MIT","YES",""
"string-width-cjs","MIT","YES",""
"string.prototype.trim","MIT","YES",""
"string.prototype.trimend","MIT","YES",""
"string.prototype.trimstart","MIT","YES",""
"stringify-object","BSD-2-Clause","YES",""
"strip-ansi","MIT","YES",""
"strip-ansi-cjs","MIT","YES",""
"strip-bom","MIT","YES",""
"strip-final-newline","MIT","YES",""
"strip-indent","MIT","YES",""
"strip-json-comments","MIT","YES",""
"strnum","MIT","YES",""
"styled-jsx","MIT","YES",""
"supports-color","MIT","YES",""
"supports-preserve-symlinks-flag","MIT","YES",""
"swc-loader","MIT","YES",""
"symbol-tree","MIT","YES",""
"tagged-tag","MIT","YES",""
"tailwind-merge","MIT","YES",""
